THE	TH IH
VISIONS	V IY S IY AO N S
VISIONS	V AH S AH AH N S
SHILLING	SH IY L L IY N G
SHILLING	SH AH L L AH N G
WARBURTON	W AH R B UW R T AO N
WARBURTON	W AH R B AH R T AH N
WARBURTON	W AH R B UW R D AO N
CORRESPONDING	K AO R R IH S P AO N D IY N G
CORRESPONDING	K AH R R AH S P AH N D AH N G
PROPOSALS	P R AO P AO S AH L S
PROPOSALS	P R AH P AH S AH L S
REPARATION	R IH P AH R AH T IY AO N
REPARATION	R AH P AH R AH T AH AH N
REPARATION	R IH P AH R AH D IY AO N
AMSTERDAM	AH M S T IH R D AH M
AMSTERDAM	AH M S T AH R D AH M
AMSTERDAM	AH M S D IH R D AH M
ECONOMY	IH K AO N AO M Y
ECONOMY	AH K AH N AH M Y
GENERALS	G IH N IH R AH L S
GENERALS	G AH N AH R AH L S
JOINT	JH AO IY N T
JOINT	JH AH AH N T
PUNISHED	P UW N IY S HH IH D
PUNISHED	P AH N AH S HH AH D
PUNISHED	P UW N IY S HH IH T
PATRIOT	P AH T R IY AO T
PATRIOT	P AH T R AH AH T
PATRIOT	P AH D R IY AO T
INSPIRING	IY N S P IY R IY N G
INSPIRING	AH N S P AH R AH N G
ALLY	AH L L Y
TWELFTH	T W IH L F T HH
TWELFTH	T W AH L F T HH
TWELFTH	T W IH L F D HH
FANTASTIC	F AH N T AH S T IY K
FANTASTIC	F AH N T AH S T AH K
FANTASTIC	F AH N D AH S D IY K
TREATY	T R IH AH T Y
TREATY	T R AH AH T Y
TREATY	T R IH AH D Y
FEAT	F IH AH T
FEAT	F AH AH T
SECRECY	S IH K R IH K Y
SECRECY	S AH K R AH K Y
SECURING	S IH K UW R IY N G
SECURING	S AH K AH R AH N G
REMONSTRANCE	R IH M AO N S T R AH N K IH
REMONSTRANCE	R AH M AH N S T R AH N K AH
REMONSTRANCE	R IH M AO N S D R AH N K IH
ACCEPTANCE	AH K K IH P T AH N K IH
ACCEPTANCE	AH K K AH P T AH N K AH
ACCEPTANCE	AH K K IH P D AH N K IH
GUARANTEE	G UW AH R AH N T IH IH
GUARANTEE	G AH AH R AH N T AH AH
GUARANTEE	G UW AH R AH N D IH IH
ATTRIBUTES	AH T T R IY B UW T IH S
ATTRIBUTES	AH T T R AH B AH T AH S
ATTRIBUTES	AH D D R IY B UW D IH S
COMPOSE	K AO M P AO S IH
COMPOSE	K AH M P AH S AH
MOAN	M AO AH N
MOAN	M AH AH N
TOPIC	T AO P IY K
TOPIC	T AH P AH K
DISTANCES	D IY S T AH N K IH S
DISTANCES	D AH S T AH N K AH S
DISTANCES	D IY S D AH N K IH S
RICHER	R IY K HH IH R
RICHER	R AH K HH AH R
CREED	K R IH IH D
CREED	K R AH AH D
CREED	K R IH IH T
DISCUSS	D IY S K UW S S
DISCUSS	D AH S K AH S S
DRAWERS	D R AH W IH R S
DRAWERS	D R AH W AH R S
COPIES	K AO P IY IH S
COPIES	K AH P AH AH S
ECCENTRIC	IH K K IH N T R IY K
ECCENTRIC	AH K K AH N T R AH K
ECCENTRIC	IH K K IH N D R IY K
CLUMSY	K L UW M S Y
CLUMSY	K L AH M S Y
CULTIVATED	K UW L T IY V AH T IH D
CULTIVATED	K AH L T AH V AH T AH D
CULTIVATED	K UW L T IY V AH T IH T
CULTIVATED	K UW L D IY V AH D IH D
TOUGH	T AO UW G HH
TOUGH	T AH AH G HH
PRAISES	P R AH IY S IH S
PRAISES	P R AH AH S AH S
SOMBRE	S AO M B R IH
SOMBRE	S AH M B R AH
REINS	R IH IY N S
REINS	R AH AH N S
UNLIKE	UW N L IY K IH
UNLIKE	AH N L AH K AH
CONFIDED	K AO N F IY D IH D
CONFIDED	K AH N F AH D AH D
CONFIDED	K AO N F IY D IH T
INDICATION	IY N D IY K AH T IY AO N
INDICATION	AH N D AH K AH T AH AH N
INDICATION	IY N D IY K AH D IY AO N
DIVIDE	D IY V IY D IH
DIVIDE	D AH V AH D AH
FLOORS	F L AO AO R S
FLOORS	F L AH AH R S
HANGS	HH AH N G S
REEDS	R IH IH D S
REEDS	R AH AH D S
TOES	T AO IH S
TOES	T AH AH S
AWHILE	AH W HH IY L IH
AWHILE	AH W HH AH L AH
INABILITY	IY N AH B IY L IY T Y
INABILITY	AH N AH B AH L AH T Y
INABILITY	IY N AH B IY L IY D Y
IMPRESS	IY M P R IH S S
IMPRESS	AH M P R AH S S
LOUNGE	L AO UW N G IH
LOUNGE	L AH AH N G AH
PHYSICALLY	P HH Y S IY K AH L L Y
PHYSICALLY	P HH Y S AH K AH L L Y
REFRESHMENT	R IH F R IH S HH M IH N T
REFRESHMENT	R AH F R AH S HH M AH N T
COMIC	K AO M IY K
COMIC	K AH M AH K
ARTISTS	AH R T IY S T S
ARTISTS	AH R T AH S T S
ARTISTS	AH R D IY S D S
POETIC	P AO IH T IY K
POETIC	P AH AH T AH K
POETIC	P AO IH D IY K
MATURITY	M AH T UW R IY T Y
MATURITY	M AH T AH R AH T Y
MATURITY	M AH D UW R IY D Y
ADJUSTMENT	AH D JH UW S T M IH N T
ADJUSTMENT	AH D JH AH S T M AH N T
ADJUSTMENT	AH D JH UW S D M IH N T
IMPOSSIBILITY	IY M P AO S S IY B IY L IY T Y
IMPOSSIBILITY	AH M P AH S S AH B AH L AH T Y
IMPOSSIBILITY	IY M P AO S S IY B IY L IY D Y
COURTS	K AO UW R T S
COURTS	K AH AH R T S
COURTS	K AO UW R D S
EVE	IH V IH
NORTHWARD	N AO R T HH W AH R D
NORTHWARD	N AH R T HH W AH R D
NORTHWARD	N AO R T HH W AH R T
NORTHWARD	N AO R D HH W AH R D
BLANKETS	B L AH N K IH T S
BLANKETS	B L AH N K AH T S
BLANKETS	B L AH N K IH D S
GRAHAM'S	G R AH HH AH M S
CONVENIENCE	K AO N V IH N IY IH N K IH
CONVENIENCE	K AH N V AH N AH AH N K AH
CHALLENGE	CH AH L L IH N G IH
CHALLENGE	CH AH L L AH N G AH
RAW	R AH W
YEAR'S	Y IH AH R S
YEAR'S	Y AH AH R S
INTERPOSED	IY N T IH R P AO S IH D
INTERPOSED	AH N T AH R P AH S AH D
INTERPOSED	IY N T IH R P AO S IH T
INTERPOSED	IY N D IH R P AO S IH D
PENSIVE	P IH N S IY V IH
PENSIVE	P AH N S AH V AH
TWIGS	T W IY G S
TWIGS	T W AH G S
ACCUSATION	AH K K UW S AH T IY AO N
ACCUSATION	AH K K AH S AH T AH AH N
ACCUSATION	AH K K UW S AH D IY AO N
IMPRISONMENT	IY M P R IY S AO N M IH N T
IMPRISONMENT	AH M P R AH S AH N M AH N T
EDGES	IH D G IH S
EDGES	AH D G AH S
RHEUMATISM	R HH IH UW M AH T IY S M
RHEUMATISM	R HH AH AH M AH T AH S M
RHEUMATISM	R HH IH UW M AH D IY S M
JELLY	JH IH L L Y
JELLY	JH AH L L Y
TIPS	T IY P S
TIPS	T AH P S
D	D
D	T
SHEETS	SH IH IH T S
SHEETS	SH AH AH T S
SHEETS	SH IH IH D S
MERITS	M IH R IY T S
MERITS	M AH R AH T S
MERITS	M IH R IY D S
PLANT	P L AH N T
LUSTRE	L UW S T R IH
LUSTRE	L AH S T R AH
LUSTRE	L UW S D R IH
ALIGHTED	AH L IY G HH T IH D
ALIGHTED	AH L AH G HH T AH D
ALIGHTED	AH L IY G HH T IH T
ALIGHTED	AH L IY G HH D IH D
SIGHS	S IY G HH S
SIGHS	S AH G HH S
F	F
N	N
GRIEVED	G R IY IH V IH D
GRIEVED	G R AH AH V AH D
GRIEVED	G R IY IH V IH T
ABOMINABLE	AH B AO M IY N AH B L IH
ABOMINABLE	AH B AH M AH N AH B L AH
FESTIVAL	F IH S T IY V AH L
FESTIVAL	F AH S T AH V AH L
FESTIVAL	F IH S D IY V AH L
MALICE	M AH L IY K IH
MALICE	M AH L AH K AH
ALMIGHTY	AH L M IY G HH T Y
ALMIGHTY	AH L M AH G HH T Y
ALMIGHTY	AH L M IY G HH D Y
PERSIAN	P IH R S IY AH N
PERSIAN	P AH R S AH AH N
PENETRATE	P IH N IH T R AH T IH
PENETRATE	P AH N AH T R AH T AH
PENETRATE	P IH N IH D R AH D IH
SWEAT	S W IH AH T
SWEAT	S W AH AH T
DESERVED	D IH S IH R V IH D
DESERVED	D AH S AH R V AH D
DESERVED	D IH S IH R V IH T
VIRTUOUS	V IY R T UW AO UW S
VIRTUOUS	V AH R T AH AH AH S
VIRTUOUS	V IY R D UW AO UW S
UNJUST	UW N JH UW S T
UNJUST	AH N JH AH S T
PENSION	P IH N S IY AO N
PENSION	P AH N S AH AH N
COMMIT	K AO M M IY T
COMMIT	K AH M M AH T
CREEPING	K R IH IH P IY N G
CREEPING	K R AH AH P AH N G
SITE	S IY T IH
SITE	S AH T AH
SITE	S IY D IH
BLAUSSER	B L AH UW S S IH R
BLAUSSER	B L AH AH S S AH R
LL	L L
SEMI	S IH M IY
SEMI	S AH M AH
MASSACHUSETTS	M AH S S AH K HH UW S IH T T S
MASSACHUSETTS	M AH S S AH K HH AH S AH T T S
MASSACHUSETTS	M AH S S AH K HH UW S IH D D S
WISELY	W IY S IH L Y
WISELY	W AH S AH L Y
LAVA	L AH V AH
NATURE'S	N AH T UW R IH S
NATURE'S	N AH T AH R AH S
NATURE'S	N AH D UW R IH S
GRUMBLED	G R UW M B L IH D
GRUMBLED	G R AH M B L AH D
GRUMBLED	G R UW M B L IH T
DIG	D IY G
DESIGNED	D IH S IY G N IH D
DESIGNED	D AH S AH G N AH D
DESIGNED	D IH S IY G N IH T
TRIALS	T R IY AH L S
TRIALS	T R AH AH L S
RECEIPT	R IH K IH IY P T
RECEIPT	R AH K AH AH P T
PERSPIRATION	P IH R S P IY R AH T IY AO N
PERSPIRATION	P AH R S P AH R AH T AH AH N
PERSPIRATION	P IH R S P IY R AH D IY AO N
RECEIVER	R IH K IH IY V IH R
RECEIVER	R AH K AH AH V AH R
PREFERENCE	P R IH F IH R IH N K IH
PREFERENCE	P R AH F AH R AH N K AH
CORRUPT	K AO R R UW P T
CORRUPT	K AH R R AH P T
IMPRISONED	IY M P R IY S AO N IH D
IMPRISONED	AH M P R AH S AH N AH D
IMPRISONED	IY M P R IY S AO N IH T
LIGHTER	L IY G HH T IH R
LIGHTER	L AH G HH T AH R
LIGHTER	L IY G HH D IH R
COMPASS	K AO M P AH S S
COMPASS	K AH M P AH S S
EXPENSES	IH K S P IH N S IH S
EXPENSES	AH K S P AH N S AH S
ANKLE	AH N K L IH
ANKLE	AH N K L AH
ECHOES	IH K HH AO IH S
ECHOES	AH K HH AH AH S
QUIETED	K UW IY IH T IH D
QUIETED	K AH AH AH T AH D
QUIETED	K UW IY IH T IH T
QUIETED	K UW IY IH D IH D
CROUCHED	K R AO UW K HH IH D
CROUCHED	K R AH AH K HH AH D
CROUCHED	K R AO UW K HH IH T
TUBE	T UW B IH
TUBE	T AH B AH
WHIRLING	W HH IY R L IY N G
WHIRLING	W HH AH R L AH N G
PENETRATING	P IH N IH T R AH T IY N G
PENETRATING	P AH N AH T R AH T AH N G
PENETRATING	P IH N IH D R AH D IY N G
NOBLES	N AO B L IH S
NOBLES	N AH B L AH S
CEREMONIES	K IH R IH M AO N IY IH S
CEREMONIES	K AH R AH M AH N AH AH S
PROPORTIONS	P R AO P AO R T IY AO N S
PROPORTIONS	P R AH P AH R T AH AH N S
PROPORTIONS	P R AO P AO R D IY AO N S
ARDENT	AH R D IH N T
ARDENT	AH R D AH N T
MESSAGES	M IH S S AH G IH S
MESSAGES	M AH S S AH G AH S
CORDIALLY	K AO R D IY AH L L Y
CORDIALLY	K AH R D AH AH L L Y
LOYALTY	L AO Y AH L T Y
LOYALTY	L AH Y AH L T Y
LOYALTY	L AO Y AH L D Y
PSYCHOTHERAPEUTIC	P S Y K HH AO T HH IH R AH P IH UW T IY K
PSYCHOTHERAPEUTIC	P S Y K HH AH T HH AH R AH P AH AH T AH K
PSYCHOTHERAPEUTIC	P S Y K HH AO D HH IH R AH P IH UW D IY K
DEPRIVE	D IH P R IY V IH
DEPRIVE	D AH P R AH V AH
CRITICS	K R IY T IY K S
CRITICS	K R AH T AH K S
CRITICS	K R IY D IY K S
STRUGGLES	S T R UW G G L IH S
STRUGGLES	S T R AH G G L AH S
STRUGGLES	S D R UW G G L IH S
TYPICAL	T Y P IY K AH L
TYPICAL	T Y P AH K AH L
SUPPRESS	S UW P P R IH S S
SUPPRESS	S AH P P R AH S S
PROBABILITY	P R AO B AH B IY L IY T Y
PROBABILITY	P R AH B AH B AH L AH T Y
PROBABILITY	P R AO B AH B IY L IY D Y
REFORM	R IH F AO R M
REFORM	R AH F AH R M
OL	AO L
LANGUID	L AH N G UW IY D
LANGUID	L AH N G AH AH D
LANGUID	L AH N G UW IY T
INTENSELY	IY N T IH N S IH L Y
INTENSELY	AH N T AH N S AH L Y
INTENSELY	IY N D IH N S IH L Y
QUIVERING	K UW IY V IH R IY N G
QUIVERING	K AH AH V AH R AH N G
RICHLY	R IY K HH L Y
RICHLY	R AH K HH L Y
GARMENT	G AH R M IH N T
GARMENT	G AH R M AH N T
INDISTINCT	IY N D IY S T IY N K T
INDISTINCT	AH N D AH S T AH N K T
INDISTINCT	IY N D IY S D IY N K T
RESOLUTE	R IH S AO L UW T IH
RESOLUTE	R AH S AH L AH T AH
RESOLUTE	R IH S AO L UW D IH
HABITUAL	HH AH B IY T UW AH L
HABITUAL	HH AH B AH T AH AH L
HABITUAL	HH AH B IY D UW AH L
CONJECTURE	K AO N JH IH K T UW R IH
CONJECTURE	K AH N JH AH K T AH R AH
CONJECTURE	K AO N JH IH K D UW R IH
GREEDY	G R IH IH D Y
GREEDY	G R AH AH D Y
APPROVAL	AH P P R AO V AH L
APPROVAL	AH P P R AH V AH L
INTOLERABLE	IY N T AO L IH R AH B L IH
INTOLERABLE	AH N T AH L AH R AH B L AH
INTOLERABLE	IY N D AO L IH R AH B L IH
LEND	L IH N D
LEND	L AH N D
LEND	L IH N T
OMINOUS	AO M IY N AO UW S
OMINOUS	AH M AH N AH AH S
DANCERS	D AH N K IH R S
DANCERS	D AH N K AH R S
CLUTCHED	K L UW T K HH IH D
CLUTCHED	K L AH T K HH AH D
CLUTCHED	K L UW T K HH IH T
CLUTCHED	K L UW D K HH IH D
NIGH	N IY G HH
NIGH	N AH G HH
SHUTTING	SH UW T T IY N G
SHUTTING	SH AH T T AH N G
SHUTTING	SH UW D D IY N G
PLUNDER	P L UW N D IH R
PLUNDER	P L AH N D AH R
TENDERLY	T IH N D IH R L Y
TENDERLY	T AH N D AH R L Y
CURVE	K UW R V IH
CURVE	K AH R V AH
SCREEN	S K R IH IH N
SCREEN	S K R AH AH N
TEMPERED	T IH M P IH R IH D
TEMPERED	T AH M P AH R AH D
TEMPERED	T IH M P IH R IH T
INDEFINITE	IY N D IH F IY N IY T IH
INDEFINITE	AH N D AH F AH N AH T AH
INDEFINITE	IY N D IH F IY N IY D IH
CRUST	K R UW S T
CRUST	K R AH S T
HINTED	HH IY N T IH D
HINTED	HH AH N T AH D
HINTED	HH IY N T IH T
HINTED	HH IY N D IH D
FRUITS	F R UW IY T S
FRUITS	F R AH AH T S
FRUITS	F R UW IY D S
HUMBLY	HH UW M B L Y
HUMBLY	HH AH M B L Y
HURON	HH UW R AO N
HURON	HH AH R AH N
CAPTIVE	K AH P T IY V IH
CAPTIVE	K AH P T AH V AH
CAPTIVE	K AH P D IY V IH
BLANKET	B L AH N K IH T
BLANKET	B L AH N K AH T
PRIVACY	P R IY V AH K Y
PRIVACY	P R AH V AH K Y
DELAWARE	D IH L AH W AH R IH
DELAWARE	D AH L AH W AH R AH
DEVOURED	D IH V AO UW R IH D
DEVOURED	D AH V AH AH R AH D
DEVOURED	D IH V AO UW R IH T
INHERITED	IY N HH IH R IY T IH D
INHERITED	AH N HH AH R AH T AH D
INHERITED	IY N HH IH R IY T IH T
INHERITED	IY N HH IH R IY D IH D
MARGIN	M AH R G IY N
MARGIN	M AH R G AH N
PATENT	P AH T IH N T
PATENT	P AH T AH N T
PATENT	P AH D IH N T
CORRECTED	K AO R R IH K T IH D
CORRECTED	K AH R R AH K T AH D
CORRECTED	K AO R R IH K T IH T
CORRECTED	K AO R R IH K D IH D
OAKS	AO AH K S
OAKS	AH AH K S
SLIPPERS	S L IY P P IH R S
SLIPPERS	S L AH P P AH R S
ASCRIBED	AH S K R IY B IH D
ASCRIBED	AH S K R AH B AH D
ASCRIBED	AH S K R IY B IH T
ROCKING	R AO K K IY N G
ROCKING	R AH K K AH N G
WASHING	W AH S HH IY N G
WASHING	W AH S HH AH N G
PROFITS	P R AO F IY T S
PROFITS	P R AH F AH T S
PROFITS	P R AO F IY D S
CUSTOMERS	K UW S T AO M IH R S
CUSTOMERS	K AH S T AH M AH R S
CUSTOMERS	K UW S D AO M IH R S
TUCKED	T UW K K IH D
TUCKED	T AH K K AH D
TUCKED	T UW K K IH T
MORTALS	M AO R T AH L S
MORTALS	M AH R T AH L S
MORTALS	M AO R D AH L S
TOM'S	T AO M S
TOM'S	T AH M S
IMPROVE	IY M P R AO V IH
IMPROVE	AH M P R AH V AH
LADD	L AH D D
LADD	L AH D T
SHIRTS	SH IY R T S
SHIRTS	SH AH R T S
SHIRTS	SH IY R D S
GLOWED	G L AO W IH D
GLOWED	G L AH W AH D
GLOWED	G L AO W IH T
CONVEYED	K AO N V IH Y IH D
CONVEYED	K AH N V AH Y AH D
CONVEYED	K AO N V IH Y IH T
GLEE	G L IH IH
GLEE	G L AH AH
LID	L IY D
LID	L IY T
SATIN	S AH T IY N
SATIN	S AH T AH N
SATIN	S AH D IY N
BELIEVERS	B IH L IY IH V IH R S
BELIEVERS	B AH L AH AH V AH R S
COMPLAIN	K AO M P L AH IY N
COMPLAIN	K AH M P L AH AH N
CORDS	K AO R D S
CORDS	K AH R D S
INSENSIBLE	IY N S IH N S IY B L IH
INSENSIBLE	AH N S AH N S AH B L AH
ALLIED	AH L L IY IH D
ALLIED	AH L L AH AH D
ALLIED	AH L L IY IH T
COLOSSAL	K AO L AO S S AH L
COLOSSAL	K AH L AH S S AH L
NUT	N UW T
PRETENSIONS	P R IH T IH N S IY AO N S
PRETENSIONS	P R AH T AH N S AH AH N S
PRETENSIONS	P R IH D IH N S IY AO N S
CORPSES	K AO R P S IH S
CORPSES	K AH R P S AH S
SPIED	S P IY IH D
SPIED	S P AH AH D
SPIED	S P IY IH T
ERRORS	IH R R AO R S
ERRORS	AH R R AH R S
FURNACE	F UW R N AH K IH
FURNACE	F AH R N AH K AH
SHAVE	SH AH V IH
SHAVE	SH AH V AH
DEVILS	D IH V IY L S
DEVILS	D AH V AH L S
WEB	W IH B
ACCORDANCE	AH K K AO R D AH N K IH
ACCORDANCE	AH K K AH R D AH N K AH
DISCOVERING	D IY S K AO V IH R IY N G
DISCOVERING	D AH S K AH V AH R AH N G
WORLD'S	W AO R L D S
WORLD'S	W AH R L D S
ACCOMPANYING	AH K K AO M P AH N Y IY N G
ACCOMPANYING	AH K K AH M P AH N Y AH N G
TENSION	T IH N S IY AO N
TENSION	T AH N S AH AH N
E	IH
RAPIDITY	R AH P IY D IY T Y
RAPIDITY	R AH P AH D AH T Y
RAPIDITY	R AH P IY D IY D Y
FEEDING	F IH IH D IY N G
FEEDING	F AH AH D AH N G
JEMMY	JH IH M M Y
JEMMY	JH AH M M Y
WHITENESS	W HH IY T IH N IH S S
WHITENESS	W HH AH T AH N AH S S
WHITENESS	W HH IY D IH N IH S S
SCRAP	S K R AH P
BURY	B UW R Y
BURY	B AH R Y
WARFARE	W AH R F AH R IH
WARFARE	W AH R F AH R AH
BATTERY	B AH T T IH R Y
BATTERY	B AH T T AH R Y
BATTERY	B AH D D IH R Y
SWAYED	S W AH Y IH D
SWAYED	S W AH Y AH D
SWAYED	S W AH Y IH T
RAPTURE	R AH P T UW R IH
RAPTURE	R AH P T AH R AH
RAPTURE	R AH P D UW R IH
HEART'S	HH IH AH R T S
HEART'S	HH AH AH R T S
HEART'S	HH IH AH R D S
LOVELIEST	L AO V IH L IY IH S T
LOVELIEST	L AH V AH L AH AH S T
CRESTY	K R IH S T Y
CRESTY	K R AH S T Y
CRESTY	K R IH S D Y
WEE	W IH IH
SHRIEKED	SH R IY IH K IH D
SHRIEKED	SH R AH AH K AH D
SHRIEKED	SH R IY IH K IH T
KICKED	K IY K K IH D
KICKED	K AH K K AH D
KICKED	K IY K K IH T
TOMMY	T AO M M Y
TOMMY	T AH M M Y
LONGBILL	L AO N G B IY L L
LONGBILL	L AH N G B AH L L
SPOTTED	S P AO T T IH D
SPOTTED	S P AH T T AH D
SPOTTED	S P AO T T IH T
SPOTTED	S P AO D D IH D
FRANCISCO	F R AH N K IY S K AO
FRANCISCO	F R AH N K AH S K AH
SALMON	S AH L M AO N
SALMON	S AH L M AH N
ASHORE	AH S HH AO R IH
ASHORE	AH S HH AH R AH
CONSTRUCTED	K AO N S T R UW K T IH D
CONSTRUCTED	K AH N S T R AH K T AH D
CONSTRUCTED	K AO N S T R UW K T IH T
CONSTRUCTED	K AO N S D R UW K D IH D
SIGNIFICANCE	S IY G N IY F IY K AH N K IH
SIGNIFICANCE	S AH G N AH F AH K AH N K AH
ASIA	AH S IY AH
ASIA	AH S AH AH
SOLOMON	S AO L AO M AO N
SOLOMON	S AH L AH M AH N
DISPLEASED	D IY S P L IH AH S IH D
DISPLEASED	D AH S P L AH AH S AH D
DISPLEASED	D IY S P L IH AH S IH T
SAFER	S AH F IH R
SAFER	S AH F AH R
CROWNS	K R AO W N S
CROWNS	K R AH W N S
CREST	K R IH S T
CREST	K R AH S T
HOSS	HH AO S S
HOSS	HH AH S S
SHAPELESS	SH AH P IH L IH S S
SHAPELESS	SH AH P AH L AH S S
ASCENT	AH S K IH N T
ASCENT	AH S K AH N T
FIEND	F IY IH N D
FIEND	F AH AH N D
FIEND	F IY IH N T
BENEVOLENT	B IH N IH V AO L IH N T
BENEVOLENT	B AH N AH V AH L AH N T
NORTHANGER	N AO R T HH AH N G IH R
NORTHANGER	N AH R T HH AH N G AH R
NORTHANGER	N AO R D HH AH N G IH R
MODERATE	M AO D IH R AH T IH
MODERATE	M AH D AH R AH T AH
MODERATE	M AO D IH R AH D IH
VOLUNTARY	V AO L UW N T AH R Y
VOLUNTARY	V AH L AH N T AH R Y
VOLUNTARY	V AO L UW N D AH R Y
CONTRADICT	K AO N T R AH D IY K T
CONTRADICT	K AH N T R AH D AH K T
CONTRADICT	K AO N D R AH D IY K T
DIRECTING	D IY R IH K T IY N G
DIRECTING	D AH R AH K T AH N G
DIRECTING	D IY R IH K D IY N G
MELODY	M IH L AO D Y
MELODY	M AH L AH D Y
SHAWL	SH AH W L
FRIGHT	F R IY G HH T
FRIGHT	F R AH G HH T
BRUTALITY	B R UW T AH L IY T Y
BRUTALITY	B R AH T AH L AH T Y
BRUTALITY	B R UW D AH L IY D Y
DESPAIRING	D IH S P AH IY R IY N G
DESPAIRING	D AH S P AH AH R AH N G
ARAB	AH R AH B
DESCENDING	D IH S K IH N D IY N G
DESCENDING	D AH S K AH N D AH N G
CARGO	K AH R G AO
CARGO	K AH R G AH
MOANING	M AO AH N IY N G
MOANING	M AH AH N AH N G
STARE	S T AH R IH
STARE	S T AH R AH
STARE	S D AH R IH
SOOTHING	S AO AO T HH IY N G
SOOTHING	S AH AH T HH AH N G
SOOTHING	S AO AO D HH IY N G
RESENTED	R IH S IH N T IH D
RESENTED	R AH S AH N T AH D
RESENTED	R IH S IH N T IH T
RESENTED	R IH S IH N D IH D
KEENLY	K IH IH N L Y
KEENLY	K AH AH N L Y
JACKSON	JH AH K K S AO N
JACKSON	JH AH K K S AH N
WHISPERING	W HH IY S P IH R IY N G
WHISPERING	W HH AH S P AH R AH N G
HENCEFORTH	HH IH N K IH F AO R T HH
HENCEFORTH	HH AH N K AH F AH R T HH
HENCEFORTH	HH IH N K IH F AO R D HH
DARKER	D AH R K IH R
DARKER	D AH R K AH R
ILLUSTRIOUS	IY L L UW S T R IY AO UW S
ILLUSTRIOUS	AH L L AH S T R AH AH AH S
ILLUSTRIOUS	IY L L UW S D R IY AO UW S
COMBATANTS	K AO M B AH T AH N T S
COMBATANTS	K AH M B AH T AH N T S
COMBATANTS	K AO M B AH D AH N D S
TAX	T AH K S
TROOPER	T R AO AO P IH R
TROOPER	T R AH AH P AH R
DESTROYING	D IH S T R AO Y IY N G
DESTROYING	D AH S T R AH Y AH N G
DESTROYING	D IH S D R AO Y IY N G
REBEL	R IH B IH L
REBEL	R AH B AH L
DOST	D AO S T
DOST	D AH S T
INFECTION	IY N F IH K T IY AO N
INFECTION	AH N F AH K T AH AH N
INFECTION	IY N F IH K D IY AO N
GROVES	G R AO V IH S
GROVES	G R AH V AH S
STARVATION	S T AH R V AH T IY AO N
STARVATION	S T AH R V AH T AH AH N
STARVATION	S D AH R V AH D IY AO N
COMMUNITIES	K AO M M UW N IY T IY IH S
COMMUNITIES	K AH M M AH N AH T AH AH S
COMMUNITIES	K AO M M UW N IY D IY IH S
JEFFERSON	JH IH F F IH R S AO N
JEFFERSON	JH AH F F AH R S AH N
SHREWD	SH R IH W D
SHREWD	SH R AH W D
SHREWD	SH R IH W T
HIGHWAY	HH IY G HH W AH Y
HIGHWAY	HH AH G HH W AH Y
PRETENCE	P R IH T IH N K IH
PRETENCE	P R AH T AH N K AH
PRETENCE	P R IH D IH N K IH
TREACHERY	T R IH AH K HH IH R Y
TREACHERY	T R AH AH K HH AH R Y
DAGGER	D AH G G IH R
DAGGER	D AH G G AH R
STROVE	S T R AO V IH
STROVE	S T R AH V AH
STROVE	S D R AO V IH
CORPS	K AO R P S
CORPS	K AH R P S
EXCELLENCY	IH K S K IH L L IH N K Y
EXCELLENCY	AH K S K AH L L AH N K Y
BUCKINGHAM	B UW K K IY N G HH AH M
BUCKINGHAM	B AH K K AH N G HH AH M
SEALED	S IH AH L IH D
SEALED	S AH AH L AH D
SEALED	S IH AH L IH T
PLANK	P L AH N K
MECHANICALLY	M IH K HH AH N IY K AH L L Y
MECHANICALLY	M AH K HH AH N AH K AH L L Y
RUSK	R UW S K
RUSK	R AH S K
WILDLY	W IY L D L Y
WILDLY	W AH L D L Y
SHADED	SH AH D IH D
SHADED	SH AH D AH D
SHADED	SH AH D IH T
LOWERED	L AO W IH R IH D
LOWERED	L AH W AH R AH D
LOWERED	L AO W IH R IH T
PHENOMENON	P HH IH N AO M IH N AO N
PHENOMENON	P HH AH N AH M AH N AH N
WHIRL	W HH IY R L
WHIRL	W HH AH R L
RAILWAY	R AH IY L W AH Y
RAILWAY	R AH AH L W AH Y
POSITIONS	P AO S IY T IY AO N S
POSITIONS	P AH S AH T AH AH N S
POSITIONS	P AO S IY D IY AO N S
MIRRORS	M IY R R AO R S
MIRRORS	M AH R R AH R S
BAGS	B AH G S
INVASION	IY N V AH S IY AO N
INVASION	AH N V AH S AH AH N
WAGONS	W AH G AO N S
WAGONS	W AH G AH N S
POPE	P AO P IH
POPE	P AH P AH
FLEE	F L IH IH
FLEE	F L AH AH
TIGERS	T IY G IH R S
TIGERS	T AH G AH R S
TANKS	T AH N K S
MOCKERY	M AO K K IH R Y
MOCKERY	M AH K K AH R Y
SACK	S AH K K
CIRCULATION	K IY R K UW L AH T IY AO N
CIRCULATION	K AH R K AH L AH T AH AH N
CIRCULATION	K IY R K UW L AH D IY AO N
SPECTACLES	S P IH K T AH K L IH S
SPECTACLES	S P AH K T AH K L AH S
SPECTACLES	S P IH K D AH K L IH S
CONTRIBUTED	K AO N T R IY B UW T IH D
CONTRIBUTED	K AH N T R AH B AH T AH D
CONTRIBUTED	K AO N T R IY B UW T IH T
CONTRIBUTED	K AO N D R IY B UW D IH D
STEVENTON	S T IH V IH N T AO N
STEVENTON	S T AH V AH N T AH N
