<SIL>	SIL
EMPHASISED	G_E G_M G_P G_H G_A G_S G_I G_S G_E G_D
EMPIRE	G_E G_M G_P G_I G_R G_E
EMPLOY	G_E G_M G_P G_L G_O G_Y
EMPLOYED	G_E G_M G_P G_L G_O G_Y G_E G_D
EMPTIED	G_E G_M G_P G_T G_I G_E G_D
EMPTY	G_E G_M G_P G_T G_Y
EMPTYING	G_E G_M G_P G_T G_Y G_I G_N G_G
EMULATED	G_E G_M G_U G_L G_A G_T G_E G_D
ENABLES	G_E G_N G_A G_B G_L G_E G_S
ENACTED	G_E G_N G_A G_C G_T G_E G_D
ENCHANTED	G_E G_N G_C G_H G_A G_N G_T G_E G_D
ENCHANTERS	G_E G_N G_C G_H G_A G_N G_T G_E G_R G_S
ENCHANTMENT	G_E G_N G_C G_H G_A G_N G_T G_M G_E G_N G_T
ENCLOSURE	G_E G_N G_C G_L G_O G_S G_U G_R G_E
ENCOUNTER	G_E G_N G_C G_O G_U G_N G_T G_E G_R
ENCOUNTERED	G_E G_N G_C G_O G_U G_N G_T G_E G_R G_E G_D
ENCOURAGED	G_E G_N G_C G_O G_U G_R G_A G_G G_E G_D
ENCUMBERED	G_E G_N G_C G_U G_M G_B G_E G_R G_E G_D
END	G_E G_N G_D
ENDEAVORING	G_E G_N G_D G_E G_A G_V G_O G_R G_I G_N G_G
ENDEAVORS	G_E G_N G_D G_E G_A G_V G_O G_R G_S
ENDEAVOURED	G_E G_N G_D G_E G_A G_V G_O G_U G_R G_E G_D
ENDED	G_E G_N G_D G_E G_D
ENDING	G_E G_N G_D G_I G_N G_G
ENDORSES	G_E G_N G_D G_O G_R G_S G_E G_S
ENDOW	G_E G_N G_D G_O G_W
ENDOWED	G_E G_N G_D G_O G_W G_E G_D
ENDURANCE	G_E G_N G_D G_U G_R G_A G_N G_C G_E
ENDURED	G_E G_N G_D G_U G_R G_E G_D
ENEMIES	G_E G_N G_E G_M G_I G_E G_S
ENEMY	G_E G_N G_E G_M G_Y
ENEMY'S	G_E G_N G_E G_M G_Y G_S
ENERGETIC	G_E G_N G_E G_R G_G G_E G_T G_I G_C
ENERGY	G_E G_N G_E G_R G_G G_Y
ENFORCES	G_E G_N G_F G_O G_R G_C G_E G_S
ENGAGE	G_E G_N G_G G_A G_G G_E
ENGAGED	G_E G_N G_G G_A G_G G_E G_D
ENGAGEMENT	G_E G_N G_G G_A G_G G_E G_M G_E G_N G_T
ENGINEER	G_E G_N G_G G_I G_N G_E G_E G_R
ENGLAND	G_E G_N G_G G_L G_A G_N G_D
ENGLISH	G_E G_N G_G G_L G_I G_S G_H
ENGROSSED	G_E G_N G_G G_R G_O G_S G_S G_E G_D
ENIGMA	G_E G_N G_I G_G G_M G_A
ENJOINING	G_E G_N G_J G_O G_I G_N G_I G_N G_G
ENJOY	G_E G_N G_J G_O G_Y
ENJOYED	G_E G_N G_J G_O G_Y G_E G_D
ENJOYING	G_E G_N G_J G_O G_Y G_I G_N G_G
ENLIST	G_E G_N G_L G_I G_S G_T
ENLISTED	G_E G_N G_L G_I G_S G_T G_E G_D
ENORMOUS	G_E G_N G_O G_R G_M G_O G_U G_S
ENOUGH	G_E G_N G_O G_U G_G G_H
ENQUIRED	G_E G_N G_Q G_U G_I G_R G_E G_D
ENRAGED	G_E G_N G_R G_A G_G G_E G_D
ENSURED	G_E G_N G_S G_U G_R G_E G_D
ENTANGLED	G_E G_N G_T G_A G_N G_G G_L G_E G_D
ENTER	G_E G_N G_T G_E G_R
ENTERED	G_E G_N G_T G_E G_R G_E G_D
ENTERPRISE	G_E G_N G_T G_E G_R G_P G_R G_I G_S G_E
ENTERTAIN	G_E G_N G_T G_E G_R G_T G_A G_I G_N
ENTERTAINED	G_E G_N G_T G_E G_R G_T G_A G_I G_N G_E G_D
ENTERTAINMENT	G_E G_N G_T G_E G_R G_T G_A G_I G_N G_M G_E G_N G_T
ENTHUSIASM	G_E G_N G_T G_H G_U G_S G_I G_A G_S G_M
ENTHUSIASTIC	G_E G_N G_T G_H G_U G_S G_I G_A G_S G_T G_I G_C
ENTICE	G_E G_N G_T G_I G_C G_E
ENTIRE	G_E G_N G_T G_I G_R G_E
ENTIRELY	G_E G_N G_T G_I G_R G_E G_L G_Y
ENTIRETY	G_E G_N G_T G_I G_R G_E G_T G_Y
ENTITLED	G_E G_N G_T G_I G_T G_L G_E G_D
ENTITY	G_E G_N G_T G_I G_T G_Y
ENTRANCE	G_E G_N G_T G_R G_A G_N G_C G_E
ENTREATED	G_E G_N G_T G_R G_E G_A G_T G_E G_D
ENTREATY	G_E G_N G_T G_R G_E G_A G_T G_Y
ENTREES	G_E G_N G_T G_R G_E G_E G_S
ENUNCIATION	G_E G_N G_U G_N G_C G_I G_A G_T G_I G_O G_N
ENVELOPE	G_E G_N G_V G_E G_L G_O G_P G_E
ENVELOPED	G_E G_N G_V G_E G_L G_O G_P G_E G_D
ENVELOPES	G_E G_N G_V G_E G_L G_O G_P G_E G_S
ENVIOUS	G_E G_N G_V G_I G_O G_U G_S
ENVIRONMENT	G_E G_N G_V G_I G_R G_O G_N G_M G_E G_N G_T
EPICURISM	G_E G_P G_I G_C G_U G_R G_I G_S G_M
EPIDEMIC	G_E G_P G_I G_D G_E G_M G_I G_C
EPILEPSY	G_E G_P G_I G_L G_E G_P G_S G_Y
EPILOBIUM	G_E G_P G_I G_L G_O G_B G_I G_U G_M
EPISTLE	G_E G_P G_I G_S G_T G_L G_E
EPISTLES	G_E G_P G_I G_S G_T G_L G_E G_S
EPOCH	G_E G_P G_O G_C G_H
EQUAL	G_E G_Q G_U G_A G_L
EQUALLY	G_E G_Q G_U G_A G_L G_L G_Y
EQUALS	G_E G_Q G_U G_A G_L G_S
EQUANIMITY	G_E G_Q G_U G_A G_N G_I G_M G_I G_T G_Y
EQUIPMENT	G_E G_Q G_U G_I G_P G_M G_E G_N G_T
EQUIPPED	G_E G_Q G_U G_I G_P G_P G_E G_D
ERA	G_E G_R G_A
ERE	G_E G_R G_E
ERECT	G_E G_R G_E G_C G_T
EREWHILE	G_E G_R G_E G_W G_H G_I G_L G_E
EREWHON	G_E G_R G_E G_W G_H G_O G_N
ERNEST	G_E G_R G_N G_E G_S G_T
ERRANT	G_E G_R G_R G_A G_N G_T
ERROR	G_E G_R G_R G_O G_R
ERRORS	G_E G_R G_R G_O G_R G_S
ESCAPE	G_E G_S G_C G_A G_P G_E
ESCAPED	G_E G_S G_C G_A G_P G_E G_D
ESKIMOS	G_E G_S G_K G_I G_M G_O G_S
ESPECIALLY	G_E G_S G_P G_E G_C G_I G_A G_L G_L G_Y
ESPOUSED	G_E G_S G_P G_O G_U G_S G_E G_D
ESSENCE	G_E G_S G_S G_E G_N G_C G_E
ESSENTIAL	G_E G_S G_S G_E G_N G_T G_I G_A G_L
ESSENTIALLY	G_E G_S G_S G_E G_N G_T G_I G_A G_L G_L G_Y
ESTABLISH	G_E G_S G_T G_A G_B G_L G_I G_S G_H
ESTABLISHED	G_E G_S G_T G_A G_B G_L G_I G_S G_H G_E G_D
ESTABLISHMENT	G_E G_S G_T G_A G_B G_L G_I G_S G_H G_M G_E G_N G_T
ESTEEM	G_E G_S G_T G_E G_E G_M
ESTEEMED	G_E G_S G_T G_E G_E G_M G_E G_D
ESTHER	G_E G_S G_T G_H G_E G_R
ESTIMATES	G_E G_S G_T G_I G_M G_A G_T G_E G_S
ESTIMATION	G_E G_S G_T G_I G_M G_A G_T G_I G_O G_N
ET	G_E G_T
ETCHED	G_E G_T G_C G_H G_E G_D
ETCHINGS	G_E G_T G_C G_H G_I G_N G_G G_S
ETERNAL	G_E G_T G_E G_R G_N G_A G_L
ETERNITIES	G_E G_T G_E G_R G_N G_I G_T G_I G_E G_S
ETERNITY	G_E G_T G_E G_R G_N G_I G_T G_Y
ETHEREAL	G_E G_T G_H G_E G_R G_E G_A G_L
EUCHARIST	G_E G_U G_C G_H G_A G_R G_I G_S G_T
EUCLID	G_E G_U G_C G_L G_I G_D
EUNUCHS	G_E G_U G_N G_U G_C G_H G_S
EUROPE	G_E G_U G_R G_O G_P G_E
EUSTON	G_E G_U G_S G_T G_O G_N
EVE	G_E G_V G_E
EVEN	G_E G_V G_E G_N
EVENING	G_E G_V G_E G_N G_I G_N G_G
EVENTFUL	G_E G_V G_E G_N G_T G_F G_U G_L
EVENTS	G_E G_V G_E G_N G_T G_S
EVENTUALLY	G_E G_V G_E G_N G_T G_U G_A G_L G_L G_Y
EVER	G_E G_V G_E G_R
EVER'BODY	G_E G_V G_E G_R G_B G_O G_D G_Y
EVERLASTING	G_E G_V G_E G_R G_L G_A G_S G_T G_I G_N G_G
EVERY	G_E G_V G_E G_R G_Y
EVERYBODY	G_E G_V G_E G_R G_Y G_B G_O G_D G_Y
EVERYDAY	G_E G_V G_E G_R G_Y G_D G_A G_Y
EVERYONE	G_E G_V G_E G_R G_Y G_O G_N G_E
EVERYTHING	G_E G_V G_E G_R G_Y G_T G_H G_I G_N G_G
EVERYWHERE	G_E G_V G_E G_R G_Y G_W G_H G_E G_R G_E
EVIDENCE	G_E G_V G_I G_D G_E G_N G_C G_E
EVIDENT	G_E G_V G_I G_D G_E G_N G_T
EVIDENTLY	G_E G_V G_I G_D G_E G_N G_T G_L G_Y
EVIL	G_E G_V G_I G_L
EVILS	G_E G_V G_I G_L G_S
EVINCED	G_E G_V G_I G_N G_C G_E G_D
EVINCING	G_E G_V G_I G_N G_C G_I G_N G_G
EWES	G_E G_W G_E G_S
EX	G_E G_X
EXACT	G_E G_X G_A G_C G_T
EXACTED	G_E G_X G_A G_C G_T G_E G_D
EXACTLY	G_E G_X G_A G_C G_T G_L G_Y
EXALTATION	G_E G_X G_A G_L G_T G_A G_T G_I G_O G_N
EXALTED	G_E G_X G_A G_L G_T G_E G_D
EXAMINED	G_E G_X G_A G_M G_I G_N G_E G_D
EXAMINING	G_E G_X G_A G_M G_I G_N G_I G_N G_G
EXAMPLE	G_E G_X G_A G_M G_P G_L G_E
EXASPERATION	G_E G_X G_A G_S G_P G_E G_R G_A G_T G_I G_O G_N
EXCEEDINGLY	G_E G_X G_C G_E G_E G_D G_I G_N G_G G_L G_Y
EXCELLENCY	G_E G_X G_C G_E G_L G_L G_E G_N G_C G_Y
EXCELLENT	G_E G_X G_C G_E G_L G_L G_E G_N G_T
EXCELLENTLY	G_E G_X G_C G_E G_L G_L G_E G_N G_T G_L G_Y
EXCEPT	G_E G_X G_C G_E G_P G_T
EXCEPTION	G_E G_X G_C G_E G_P G_T G_I G_O G_N
EXCHANGED	G_E G_X G_C G_H G_A G_N G_G G_E G_D
EXCITED	G_E G_X G_C G_I G_T G_E G_D
EXCITEMENT	G_E G_X G_C G_I G_T G_E G_M G_E G_N G_T
EXCITING	G_E G_X G_C G_I G_T G_I G_N G_G
EXCLAIMED	G_E G_X G_C G_L G_A G_I G_M G_E G_D
EXCLAIMING	G_E G_X G_C G_L G_A G_I G_M G_I G_N G_G
EXCLAMATION	G_E G_X G_C G_L G_A G_M G_A G_T G_I G_O G_N
EXCLAMATIONS	G_E G_X G_C G_L G_A G_M G_A G_T G_I G_O G_N G_S
EXCLUDED	G_E G_X G_C G_L G_U G_D G_E G_D
EXCLUSIVE	G_E G_X G_C G_L G_U G_S G_I G_V G_E
EXCURSION	G_E G_X G_C G_U G_R G_S G_I G_O G_N
EXCUSABLE	G_E G_X G_C G_U G_S G_A G_B G_L G_E
EXCUSE	G_E G_X G_C G_U G_S G_E
EXECUTE	G_E G_X G_E G_C G_U G_T G_E
EXECUTED	G_E G_X G_E G_C G_U G_T G_E G_D
EXECUTION	G_E G_X G_E G_C G_U G_T G_I G_O G_N
EXEMPLIFIED	G_E G_X G_E G_M G_P G_L G_I G_F G_I G_E G_D
EXEMPT	G_E G_X G_E G_M G_P G_T
EXERCISE	G_E G_X G_E G_R G_C G_I G_S G_E
EXERTIONS	G_E G_X G_E G_R G_T G_I G_O G_N G_S
EXHAUSTED	G_E G_X G_H G_A G_U G_S G_T G_E G_D
EXHAUSTION	G_E G_X G_H G_A G_U G_S G_T G_I G_O G_N
EXHAUSTIVE	G_E G_X G_H G_A G_U G_S G_T G_I G_V G_E
EXHIBITED	G_E G_X G_H G_I G_B G_I G_T G_E G_D
EXHIBITING	G_E G_X G_H G_I G_B G_I G_T G_I G_N G_G
EXHILARATING	G_E G_X G_H G_I G_L G_A G_R G_A G_T G_I G_N G_G
EXHORT	G_E G_X G_H G_O G_R G_T
EXILES	G_E G_X G_I G_L G_E G_S
EXIST	G_E G_X G_I G_S G_T
EXISTED	G_E G_X G_I G_S G_T G_E G_D
EXISTENCE	G_E G_X G_I G_S G_T G_E G_N G_C G_E
EXISTING	G_E G_X G_I G_S G_T G_I G_N G_G
EXISTS	G_E G_X G_I G_S G_T G_S
EXIT	G_E G_X G_I G_T
EXORBITANT	G_E G_X G_O G_R G_B G_I G_T G_A G_N G_T
EXPANSION	G_E G_X G_P G_A G_N G_S G_I G_O G_N
EXPECT	G_E G_X G_P G_E G_C G_T
EXPECTATIONS	G_E G_X G_P G_E G_C G_T G_A G_T G_I G_O G_N G_S
EXPECTED	G_E G_X G_P G_E G_C G_T G_E G_D
EXPECTING	G_E G_X G_P G_E G_C G_T G_I G_N G_G
EXPEDITION	G_E G_X G_P G_E G_D G_I G_T G_I G_O G_N
EXPEDITIOUSLY	G_E G_X G_P G_E G_D G_I G_T G_I G_O G_U G_S G_L G_Y
EXPENSE	G_E G_X G_P G_E G_N G_S G_E
EXPENSES	G_E G_X G_P G_E G_N G_S G_E G_S
EXPERIENCE	G_E G_X G_P G_E G_R G_I G_E G_N G_C G_E
EXPERIENCED	G_E G_X G_P G_E G_R G_I G_E G_N G_C G_E G_D
EXPERIMENTS	G_E G_X G_P G_E G_R G_I G_M G_E G_N G_T G_S
EXPIRE	G_E G_X G_P G_I G_R G_E
EXPIRED	G_E G_X G_P G_I G_R G_E G_D
EXPLAIN	G_E G_X G_P G_L G_A G_I G_N
EXPLAINED	G_E G_X G_P G_L G_A G_I G_N G_E G_D
EXPLANATION	G_E G_X G_P G_L G_A G_N G_A G_T G_I G_O G_N
EXPLODING	G_E G_X G_P G_L G_O G_D G_I G_N G_G
EXPLOITS	G_E G_X G_P G_L G_O G_I G_T G_S
EXPORTATION	G_E G_X G_P G_O G_R G_T G_A G_T G_I G_O G_N
EXPOSED	G_E G_X G_P G_O G_S G_E G_D
EXPOSTULATING	G_E G_X G_P G_O G_S G_T G_U G_L G_A G_T G_I G_N G_G
EXPRESS	G_E G_X G_P G_R G_E G_S G_S
EXPRESSED	G_E G_X G_P G_R G_E G_S G_S G_E G_D
EXPRESSES	G_E G_X G_P G_R G_E G_S G_S G_E G_S
EXPRESSING	G_E G_X G_P G_R G_E G_S G_S G_I G_N G_G
EXPRESSION	G_E G_X G_P G_R G_E G_S G_S G_I G_O G_N
EXPREST	G_E G_X G_P G_R G_E G_S G_T
EXQUISITE	G_E G_X G_Q G_U G_I G_S G_I G_T G_E
EXTENDED	G_E G_X G_T G_E G_N G_D G_E G_D
EXTENSION	G_E G_X G_T G_E G_N G_S G_I G_O G_N
EXTENSIVE	G_E G_X G_T G_E G_N G_S G_I G_V G_E
EXTENT	G_E G_X G_T G_E G_N G_T
EXTENUATING	G_E G_X G_T G_E G_N G_U G_A G_T G_I G_N G_G
EXTERMINATE	G_E G_X G_T G_E G_R G_M G_I G_N G_A G_T G_E
EXTERMINATION	G_E G_X G_T G_E G_R G_M G_I G_N G_A G_T G_I G_O G_N
EXTERNAL	G_E G_X G_T G_E G_R G_N G_A G_L
EXTINCT	G_E G_X G_T G_I G_N G_C G_T
EXTORTIONATE	G_E G_X G_T G_O G_R G_T G_I G_O G_N G_A G_T G_E
EXTRAORDINARILY	G_E G_X G_T G_R G_A G_O G_R G_D G_I G_N G_A G_R G_I G_L G_Y
EXTRAORDINARY	G_E G_X G_T G_R G_A G_O G_R G_D G_I G_N G_A G_R G_Y
EXTRAVAGANT	G_E G_X G_T G_R G_A G_V G_A G_G G_A G_N G_T
EXTREME	G_E G_X G_T G_R G_E G_M G_E
EXTREMELY	G_E G_X G_T G_R G_E G_M G_E G_L G_Y
EXTRICATING	G_E G_X G_T G_R G_I G_C G_A G_T G_I G_N G_G
EXUBERANCE	G_E G_X G_U G_B G_E G_R G_A G_N G_C G_E
EYE	G_E G_Y G_E
EYED	G_E G_Y G_E G_D
EYEING	G_E G_Y G_E G_I G_N G_G
EYELASHES	G_E G_Y G_E G_L G_A G_S G_H G_E G_S
EYELIDS	G_E G_Y G_E G_L G_I G_D G_S
EYES	G_E G_Y G_E G_S
FABER	G_F G_A G_B G_E G_R
FACE	G_F G_A G_C G_E
FACED	G_F G_A G_C G_E G_D
FACES	G_F G_A G_C G_E G_S
FACING	G_F G_A G_C G_I G_N G_G
FACT	G_F G_A G_C G_T
FACTOR'S	G_F G_A G_C G_T G_O G_R G_S
FACTS	G_F G_A G_C G_T G_S
FACULTIES	G_F G_A G_C G_U G_L G_T G_I G_E G_S
FADED	G_F G_A G_D G_E G_D
FADING	G_F G_A G_D G_I G_N G_G
FAGOTS	G_F G_A G_G G_O G_T G_S
FAIL	G_F G_A G_I G_L
FAILED	G_F G_A G_I G_L G_E G_D
FAILING	G_F G_A G_I G_L G_I G_N G_G
FAILS	G_F G_A G_I G_L G_S
FAILURE	G_F G_A G_I G_L G_U G_R G_E
FAIN	G_F G_A G_I G_N
FAINT	G_F G_A G_I G_N G_T
FAINTED	G_F G_A G_I G_N G_T G_E G_D
FAINTHEARTEDNESS	G_F G_A G_I G_N G_T G_H G_E G_A G_R G_T G_E G_D G_N G_E G_S G_S
FAIR	G_F G_A G_I G_R
FAIRIES	G_F G_A G_I G_R G_I G_E G_S
FAIRLY	G_F G_A G_I G_R G_L G_Y
FAIRS	G_F G_A G_I G_R G_S
FAIRY	G_F G_A G_I G_R G_Y
FAITH	G_F G_A G_I G_T G_H
FAITHFUL	G_F G_A G_I G_T G_H G_F G_U G_L
FAITHFULLY	G_F G_A G_I G_T G_H G_F G_U G_L G_L G_Y
FAKIRS	G_F G_A G_K G_I G_R G_S
FALL	G_F G_A G_L G_L
FALLACY	G_F G_A G_L G_L G_A G_C G_Y
FALLEN	G_F G_A G_L G_L G_E G_N
FALLING	G_F G_A G_L G_L G_I G_N G_G
FALLS	G_F G_A G_L G_L G_S
FALSE	G_F G_A G_L G_S G_E
FALSEHOOD	G_F G_A G_L G_S G_E G_H G_O G_O G_D
FALTERED	G_F G_A G_L G_T G_E G_R G_E G_D
FALTERING	G_F G_A G_L G_T G_E G_R G_I G_N G_G
FAME	G_F G_A G_M G_E
FAMILIARITY	G_F G_A G_M G_I G_L G_I G_A G_R G_I G_T G_Y
FAMILIES	G_F G_A G_M G_I G_L G_I G_E G_S
FAMILY	G_F G_A G_M G_I G_L G_Y
FAMINE	G_F G_A G_M G_I G_N G_E
FAMOUS	G_F G_A G_M G_O G_U G_S
FAMOUSLY	G_F G_A G_M G_O G_U G_S G_L G_Y
FANATICS	G_F G_A G_N G_A G_T G_I G_C G_S
FANCIED	G_F G_A G_N G_C G_I G_E G_D
FANCIFUL	G_F G_A G_N G_C G_I G_F G_U G_L
FANCY	G_F G_A G_N G_C G_Y
FANCYING	G_F G_A G_N G_C G_Y G_I G_N G_G
FANTASIES	G_F G_A G_N G_T G_A G_S G_I G_E G_S
FAR	G_F G_A G_R
FARED	G_F G_A G_R G_E G_D
FAREWELLS	G_F G_A G_R G_E G_W G_E G_L G_L G_S
FARM	G_F G_A G_R G_M
FARMER	G_F G_A G_R G_M G_E G_R
FARTHER	G_F G_A G_R G_T G_H G_E G_R
FASCINATED	G_F G_A G_S G_C G_I G_N G_A G_T G_E G_D
FASHION	G_F G_A G_S G_H G_I G_O G_N
FASHIONABLE	G_F G_A G_S G_H G_I G_O G_N G_A G_B G_L G_E
FASHIONED	G_F G_A G_S G_H G_I G_O G_N G_E G_D
FAST	G_F G_A G_S G_T
FASTEN	G_F G_A G_S G_T G_E G_N
FASTENED	G_F G_A G_S G_T G_E G_N G_E G_D
FASTENINGS	G_F G_A G_S G_T G_E G_N G_I G_N G_G G_S
FASTING	G_F G_A G_S G_T G_I G_N G_G
FAT	G_F G_A G_T
FATAL	G_F G_A G_T G_A G_L
FATE	G_F G_A G_T G_E
FATED	G_F G_A G_T G_E G_D
FATHER	G_F G_A G_T G_H G_E G_R
FATHER'S	G_F G_A G_T G_H G_E G_R G_S
FATHERS	G_F G_A G_T G_H G_E G_R G_S
FATIGUE	G_F G_A G_T G_I G_G G_U G_E
FAULT	G_F G_A G_U G_L G_T
FAULTS	G_F G_A G_U G_L G_T G_S
FAVOR	G_F G_A G_V G_O G_R
FAVORITE	G_F G_A G_V G_O G_R G_I G_T G_E
FAVOUR	G_F G_A G_V G_O G_U G_R
FAVOURABLE	G_F G_A G_V G_O G_U G_R G_A G_B G_L G_E
FAVOURITE	G_F G_A G_V G_O G_U G_R G_I G_T G_E
FEAR	G_F G_E G_A G_R
FEARFUL	G_F G_E G_A G_R G_F G_U G_L
FEARFULLY	G_F G_E G_A G_R G_F G_U G_L G_L G_Y
FEARING	G_F G_E G_A G_R G_I G_N G_G
FEARS	G_F G_E G_A G_R G_S
FEAST	G_F G_E G_A G_S G_T
FEATHER	G_F G_E G_A G_T G_H G_E G_R
FEATHERED	G_F G_E G_A G_T G_H G_E G_R G_E G_D
FEATHERS	G_F G_E G_A G_T G_H G_E G_R G_S
FEATURE	G_F G_E G_A G_T G_U G_R G_E
FEATURES	G_F G_E G_A G_T G_U G_R G_E G_S
FED	G_F G_E G_D
FEDERAL	G_F G_E G_D G_E G_R G_A G_L
FEE	G_F G_E G_E
FEEBLE	G_F G_E G_E G_B G_L G_E
FEEBLY	G_F G_E G_E G_B G_L G_Y
FEED	G_F G_E G_E G_D
FEEDING	G_F G_E G_E G_D G_I G_N G_G
FEEL	G_F G_E G_E G_L
FEELING	G_F G_E G_E G_L G_I G_N G_G
FEELINGS	G_F G_E G_E G_L G_I G_N G_G G_S
FEET	G_F G_E G_E G_T
FELICITATIONS	G_F G_E G_L G_I G_C G_I G_T G_A G_T G_I G_O G_N G_S
FELICITOUS	G_F G_E G_L G_I G_C G_I G_T G_O G_U G_S
FELIX	G_F G_E G_L G_I G_X
FELL	G_F G_E G_L G_L
FELLOW	G_F G_E G_L G_L G_O G_W
FELLOWS	G_F G_E G_L G_L G_O G_W G_S
FELLOWSHIP	G_F G_E G_L G_L G_O G_W G_S G_H G_I G_P
FELT	G_F G_E G_L G_T
FEMALE	G_F G_E G_M G_A G_L G_E
FEMININE	G_F G_E G_M G_I G_N G_I G_N G_E
FENCES	G_F G_E G_N G_C G_E G_S
FENCING	G_F G_E G_N G_C G_I G_N G_G
FERDINAND	G_F G_E G_R G_D G_I G_N G_A G_N G_D
FERMENTATION	G_F G_E G_R G_M G_E G_N G_T G_A G_T G_I G_O G_N
FERMENTED	G_F G_E G_R G_M G_E G_N G_T G_E G_D
FERNS	G_F G_E G_R G_N G_S
FEROCIOUSLY	G_F G_E G_R G_O G_C G_I G_O G_U G_S G_L G_Y
FERRY	G_F G_E G_R G_R G_Y
FERTILE	G_F G_E G_R G_T G_I G_L G_E
FERVENT	G_F G_E G_R G_V G_E G_N G_T
FERVOR	G_F G_E G_R G_V G_O G_R
FESTIVAL	G_F G_E G_S G_T G_I G_V G_A G_L
FESTIVE	G_F G_E G_S G_T G_I G_V G_E
FESTOON	G_F G_E G_S G_T G_O G_O G_N
FETCH	G_F G_E G_T G_C G_H
FETCHED	G_F G_E G_T G_C G_H G_E G_D
FETCHING	G_F G_E G_T G_C G_H G_I G_N G_G
FETES	G_F G_E G_T G_E G_S
FETID	G_F G_E G_T G_I G_D
FEUD	G_F G_E G_U G_D
FEUDS	G_F G_E G_U G_D G_S
FEVER	G_F G_E G_V G_E G_R
FEVERED	G_F G_E G_V G_E G_R G_E G_D
FEVERISHLY	G_F G_E G_V G_E G_R G_I G_S G_H G_L G_Y
FEW	G_F G_E G_W
FEWER	G_F G_E G_W G_E G_R
FIBI	G_F G_I G_B G_I
FIDDLE	G_F G_I G_D G_D G_L G_E
FIELD	G_F G_I G_E G_L G_D
FIELDS	G_F G_I G_E G_L G_D G_S
FIERCELY	G_F G_I G_E G_R G_C G_E G_L G_Y
FIERY	G_F G_I G_E G_R G_Y
FIFTEEN	G_F G_I G_F G_T G_E G_E G_N
FIFTH	G_F G_I G_F G_T G_H
FIFTY	G_F G_I G_F G_T G_Y
FIGHT	G_F G_I G_G G_H G_T
FIGHTING	G_F G_I G_G G_H G_T G_I G_N G_G
FIGURE	G_F G_I G_G G_U G_R G_E
FIGURES	G_F G_I G_G G_U G_R G_E G_S
FILCH	G_F G_I G_L G_C G_H
FILE	G_F G_I G_L G_E
FILING	G_F G_I G_L G_I G_N G_G
FILL	G_F G_I G_L G_L
FILLED	G_F G_I G_L G_L G_E G_D
FILLMORE	G_F G_I G_L G_L G_M G_O G_R G_E
FINAL	G_F G_I G_N G_A G_L
FINALLY	G_F G_I G_N G_A G_L G_L G_Y
FINCHES	G_F G_I G_N G_C G_H G_E G_S
FIND	G_F G_I G_N G_D
FINDING	G_F G_I G_N G_D G_I G_N G_G
FINDS	G_F G_I G_N G_D G_S
FINE	G_F G_I G_N G_E
FINELY	G_F G_I G_N G_E G_L G_Y
FINER	G_F G_I G_N G_E G_R
FINEST	G_F G_I G_N G_E G_S G_T
FINGER	G_F G_I G_N G_G G_E G_R
FINGERNAIL	G_F G_I G_N G_G G_E G_R G_N G_A G_I G_L
FINGERS	G_F G_I G_N G_G G_E G_R G_S
FINISH	G_F G_I G_N G_I G_S G_H
FINISHED	G_F G_I G_N G_I G_S G_H G_E G_D
FINNACTA	G_F G_I G_N G_N G_A G_C G_T G_A
FIR	G_F G_I G_R
FIRE	G_F G_I G_R G_E
FIRED	G_F G_I G_R G_E G_D
FIREPLACE	G_F G_I G_R G_E G_P G_L G_A G_C G_E
FIRES	G_F G_I G_R G_E G_S
FIRESIDES	G_F G_I G_R G_E G_S G_I G_D G_E G_S
FIRING	G_F G_I G_R G_I G_N G_G
FIRM	G_F G_I G_R G_M
FIRMLY	G_F G_I G_R G_M G_L G_Y
FIRMNESS	G_F G_I G_R G_M G_N G_E G_S G_S
FIRST	G_F G_I G_R G_S G_T
FISH	G_F G_I G_S G_H
FISHES	G_F G_I G_S G_H G_E G_S
FIST	G_F G_I G_S G_T
FIT	G_F G_I G_T
FITS	G_F G_I G_T G_S
FIVE	G_F G_I G_V G_E
FIXED	G_F G_I G_X G_E G_D
FIXING	G_F G_I G_X G_I G_N G_G
FJORD	G_F G_J G_O G_R G_D
FJORDUNGR	G_F G_J G_O G_R G_D G_U G_N G_G G_R
FLAG	G_F G_L G_A G_G
FLAGS	G_F G_L G_A G_G G_S
FLAKES	G_F G_L G_A G_K G_E G_S
FLAME	G_F G_L G_A G_M G_E
FLAMELETS	G_F G_L G_A G_M G_E G_L G_E G_T G_S
FLANK	G_F G_L G_A G_N G_K
FLANKS	G_F G_L G_A G_N G_K G_S
FLASH	G_F G_L G_A G_S G_H
FLASHED	G_F G_L G_A G_S G_H G_E G_D
FLAT	G_F G_L G_A G_T
FLATTER	G_F G_L G_A G_T G_T G_E G_R
FLATTERED	G_F G_L G_A G_T G_T G_E G_R G_E G_D
FLATTERING	G_F G_L G_A G_T G_T G_E G_R G_I G_N G_G
FLAVOR	G_F G_L G_A G_V G_O G_R
FLAVOUR	G_F G_L G_A G_V G_O G_U G_R
FLAX	G_F G_L G_A G_X
FLED	G_F G_L G_E G_D
FLESH	G_F G_L G_E G_S G_H
FLEW	G_F G_L G_E G_W
FLICKERED	G_F G_L G_I G_C G_K G_E G_R G_E G_D
FLIES	G_F G_L G_I G_E G_S
